content,comment_time,label
你还记得你自己说过的话吗,2023-07-03 11:39:17,1.0
总结真怀孕 真流产 我想继续赚钱,2023-07-03 11:32:23,0.0
谁允许你谈恋爱的 我恨你,2023-07-03 11:35:17,0.0
需要憋五天才来个回应吗,2023-07-03 11:33:11,0.0
那就是跟的怀孕流产了呗困,2023-07-03 11:31:56,0.0
天哪 哑巴终于会说话了 httptcnA6pd1XYZ,2023-07-03 11:32:21,0.0
好的 会继续支持你演唱会 httptcnA6pd1MKW,2023-07-03 11:30:55,1.0
为什么不早点出来回应因为今天是周一拜拜拜拜拜拜,2023-07-03 11:32:10,0.0
所以爱豆谈恋爱不带套让女方打胎是真的了呗,2023-07-03 11:32:42,0.0
额粉丝让我大开眼界哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕,2023-07-03 11:39:38,1.0
相信你,2023-07-03 11:30:47,1.0
总结事是真的堕胎也是真的但是是正常交往双方已和解至于其他的都是谣言我也很愧疚但是我更想继续挣钱doge,2023-07-03 11:36:50,0.0
信你,2023-07-03 11:30:46,1.0
认真的吗就这 等的就是你这张纸,2023-07-03 11:34:05,0.0
蔡徐坤你的路从来就不顺畅走到现在多不容易唯恐行差踏错粉丝给你最大的信任与支持KUNIKUN你忘了吗错了就是错了怪不得大家离开未来如何我们各自珍重,2023-07-03 11:38:47,1.0
所以什么意思,2023-07-03 11:31:42,0.0
第二个吴亦凡doge,2023-07-03 11:31:41,1.0
我只关心跑男能不能播了可爱可爱可爱可爱你真6,2023-07-03 11:35:16,1.0
泪泪,2023-07-03 11:30:34,0.0
我相信你的人品 是能干出这事的人爱你,2023-07-03 11:32:18,1.0
KUNIKUN We Can Beat It 泪泪泪,2023-07-03 11:30:38,0.0
就这么一段话让大家等了7天他也太宠粉了吧doge,2023-07-03 11:35:05,0.0
苦涩苦涩苦涩苦涩苦涩苦涩苦涩苦涩,2023-07-03 11:31:19,0.0
五年粉丝 脱粉了,2023-07-03 12:04:32,0.0
所以C女生怀孕了吗疑问,2023-07-03 11:32:39,0.0
来啦泪泪泪泪,2023-07-03 11:30:48,0.0
我们一直都在,2023-07-03 11:30:58,1.0
所以你没戴套约了 还打胎了是吧,2023-07-03 11:47:17,0.0
宝贝抱抱抱抱抱抱,2023-07-03 11:30:34,1.0
一个星期憋出了个屁来21年你要不要回忆一下你21年在干嘛经常消失还以为你在搞你的音乐结果你在搞的啥 你要记住你是个流量爱豆不要忘记你是怎么火起来的别以为所有人都会偏爱你自己做的事情自己去担着吧以后的路你自己慢慢走吧再见,2023-07-03 11:52:51,0.0
建议别让粉丝在外立人设 httptcnA6pd1uJh,2023-07-03 11:38:28,0.0
你还记得自己承诺过什么吗能不能不忘来时路啊泪,2023-07-03 12:14:47,1.0
终究你是忘了来时的路,2023-07-03 13:04:59,0.0
跪了,2023-07-03 11:30:49,0.0
所以是真的怀孕了打胎了,2023-07-03 11:37:59,0.0
特别是保护c女士的隐私 那我们呢,2023-07-03 16:56:23,1.0
收到了泪 没事的我们一起走下去,2023-07-03 11:30:57,1.0
你对的起谁啊允悲,2023-07-03 11:42:40,0.0
